"id","playlist_name","modifiedat","numfollowers","numtracks","collaborative"
1,"Bob Dylan","2016-02-06 19:00:00",1,75,False
2,"Ninja Sex Party","2017-10-26 20:00:00",1,48,False
3,"litty titty","2017-10-18 20:00:00",1,212,False
4," Pt. 2","2017-07-18 20:00:00",3,32,False
5,"newness","2017-10-30 20:00:00",2,69,False
6,"Just Dance","2017-06-16 20:00:00",1,90,False
7,"4th of July","2014-07-03 20:00:00",1,37,False
8,"Spiritual","2017-02-06 19:00:00",1,26,False
9,"NG","2017-07-09 20:00:00",1,41,False
10,"***START***","2015-10-29 20:00:00",3,24,False
11,"NewNew","2017-10-29 20:00:00",2,83,False
12,"love ","2017-10-24 20:00:00",1,20,False
13,"halloween","2016-10-11 20:00:00",1,76,False
14,"Worship","2017-06-11 20:00:00",1,183,False
15,"chills","2017-10-29 20:00:00",1,27,False
16,"Kaylee","2017-10-28 20:00:00",3,159,False
17,"english songs","2016-12-09 19:00:00",2,215,False
18,"LALALA","2016-05-22 20:00:00",1,22,False
19,"Into The Woods","2014-08-21 20:00:00",1,22,False
20,"Let's Party","2015-10-29 20:00:00",2,137,False
21,"study.","2016-01-18 19:00:00",1,245,False
22,"Winter Wonderland","2016-12-03 19:00:00",1,13,False
23,"sexy","2017-08-04 20:00:00",6,37,True
24,"Summer!!!","2017-06-10 20:00:00",1,146,False
25,"BBQ Playlist","2016-05-27 20:00:00",1,51,False
26,"Eclipse","2017-08-19 20:00:00",5,26,False
27,"Road Trippin'","2017-03-09 19:00:00",1,123,False
28,"Dance dance","2015-03-10 20:00:00",1,58,False
29,"my music","2016-06-27 20:00:00",1,168,False
30,"Morgan","2015-09-17 20:00:00",1,64,False
31,"in the car","2017-04-08 20:00:00",1,32,False
32,"run","2017-09-11 20:00:00",1,28,False
33,"LIT","2016-12-12 19:00:00",1,12,False
34,"chill out","2017-02-11 19:00:00",1,28,False
35,"Birthday Party","2017-02-01 19:00:00",1,16,False
36,"Thailand","2017-02-17 19:00:00",1,7,False
37,"90's Hip Hop","2014-08-25 20:00:00",1,82,False
38,"Get Pumped","2016-08-14 20:00:00",4,225,False
39,"summer jams","2017-03-03 19:00:00",2,48,False
40,"Ivan","2017-10-26 20:00:00",3,144,False
41,"Throwbacks","2017-09-30 20:00:00",2,44,False
42,"my girl","2017-10-19 20:00:00",1,97,False
43,"Reggaeton","2017-08-21 20:00:00",2,46,False
44,"chill","2017-06-26 20:00:00",1,21,False
45,"love","2016-11-01 20:00:00",3,22,False
46,"UPLIFT","2017-07-14 20:00:00",1,27,False
47,"Good Vibez","2016-05-08 20:00:00",2,98,False
48,"UPBEAT","2013-06-26 20:00:00",1,7,False
49,"blue moon","2016-08-26 20:00:00",1,16,False
50,"Salsa","2016-11-26 19:00:00",1,49,False
51,"that mood..","2016-10-16 20:00:00",1,22,False
52,"Piano","2013-07-30 20:00:00",38,11,False
53,"New Faves","2017-10-16 20:00:00",1,114,False
54,"idk","2017-10-27 20:00:00",1,68,False
55,"Listen","2014-11-01 20:00:00",1,25,False
56,"Yams","2017-06-25 20:00:00",1,35,False
57,"honey","2017-10-22 20:00:00",1,11,False
58,"Grind Time","2015-06-01 20:00:00",1,60,False
59,"CALIFORNIA","2017-10-29 20:00:00",1,46,False
60,"mellow","2017-09-27 20:00:00",1,54,False
61,"lit playlist","2017-10-28 20:00:00",1,50,False
62,"Music","2016-11-11 19:00:00",2,14,False
63,"SUMMER 2015!","2015-05-22 20:00:00",2,20,False
64,"Worship","2015-01-12 19:00:00",1,85,True
65,"Study","2016-07-17 20:00:00",1,28,False
66,"ZZZZZ","2016-05-27 20:00:00",1,119,False
67,"playlist","2014-02-14 19:00:00",1,17,False
68,"litty","2017-10-24 20:00:00",2,176,False
69,"Karaoke","2017-10-05 20:00:00",1,44,False
70,"Bachata","2017-09-17 20:00:00",1,60,False
71,"Diff","2014-11-13 19:00:00",1,49,False
72,"winter","2016-02-28 19:00:00",1,76,False
73,"Jazz","2016-01-23 19:00:00",1,40,False
74,"fashion show","2017-03-19 20:00:00",2,15,False
75,"pearl jam","2013-05-06 20:00:00",1,192,False
76,"singers","2017-10-22 20:00:00",1,57,False
77,"Low life","2017-10-29 20:00:00",1,115,False
78,"Download","2016-11-06 19:00:00",1,13,False
79,"Top","2016-12-31 19:00:00",1,14,False
80,"80's","2016-09-01 20:00:00",1,11,False
81,"my mind","2017-10-12 20:00:00",1,52,False
82,"alt","2016-05-27 20:00:00",1,103,False
83,"2014","2017-10-28 20:00:00",16,88,False
84,"bass","2017-04-09 20:00:00",1,67,False
85,"Costa Rica ","2016-03-22 20:00:00",1,83,False
86,"All time favs","2017-10-23 20:00:00",1,13,False
87,"Driving ","2017-06-07 20:00:00",1,47,False
88,"country songs","2017-10-19 20:00:00",1,58,False
89,"February '17","2017-02-23 19:00:00",5,21,False
90,"Electro ","2017-03-14 20:00:00",1,41,False
91,"countryyy","2017-09-24 20:00:00",1,47,False
92,"england","2017-08-04 20:00:00",1,78,False
93,"R&B","2015-09-28 20:00:00",1,9,False
94,"crush","2017-10-02 20:00:00",1,86,False
95,"Country","2016-07-20 20:00:00",1,181,False
96,"Feel good country","2017-10-26 20:00:00",1,29,False
97,"Sound","2015-05-15 20:00:00",1,10,False
98,"sleep","2015-01-21 19:00:00",1,6,False
99,"Lifting","2017-07-28 20:00:00",1,58,False
100,"sept","2017-09-17 20:00:00",1,37,False
101,"Indie","2016-12-15 19:00:00",2,23,False
102,"Run","2016-04-10 20:00:00",1,23,False
103,"Vegas","2017-04-23 20:00:00",3,30,False
104,"Classical/Instrumental","2015-01-03 19:00:00",1,77,False
105,"B&W","2017-07-24 20:00:00",1,108,False
106,"Blurred Lines","2016-03-23 20:00:00",1,38,False
107,"LIT","2017-10-22 20:00:00",1,11,False
108,"lit","2017-07-25 20:00:00",1,71,False
109,"Classical","2017-01-14 19:00:00",1,23,False
110,"September 15 ","2015-09-01 20:00:00",1,16,False
111,"Babygirl","2016-03-18 20:00:00",1,70,False
112,"The Feel-Good Flavors Playlist","2013-11-04 19:00:00",1,40,False
113,"road trip","2017-03-10 19:00:00",1,81,False
114,"Tory Lanez","2017-08-22 20:00:00",1,20,False
115,"fall 16","2016-11-12 19:00:00",1,62,False
116,"chill","2017-10-14 20:00:00",1,62,False
117,"Rihanna","2014-03-28 20:00:00",1,89,False
118,"Fall 2017","2017-10-25 20:00:00",1,19,False
119,"Escape","2017-03-08 19:00:00",1,13,False
120,"alcohol","2017-04-23 20:00:00",1,25,False
121,"rocky","2016-12-15 19:00:00",2,43,False
122,"Alexa","2016-10-28 20:00:00",1,35,False
123,"Down","2016-09-11 20:00:00",1,32,False
124,"background noise","2017-01-22 19:00:00",3,117,False
125,"Workout","2016-08-03 20:00:00",1,30,False
126,"SAM","2016-12-23 19:00:00",1,23,False
127,"hiphop","2017-08-14 20:00:00",1,22,False
128,"my love","2014-11-12 19:00:00",1,20,False
129,"party party","2015-11-06 19:00:00",1,152,False
130,"yassss","2017-03-15 20:00:00",1,86,False
131,"Good Vibes","2017-04-20 20:00:00",1,49,False
132,"sexy time","2017-08-02 20:00:00",1,186,False
133,"~Fleetwood Mac","2017-02-06 19:00:00",2,106,False
134,"At Work","2017-05-15 20:00:00",1,83,False
135,"Get Down","2017-10-29 20:00:00",16,172,True
136,"Chill bill","2017-08-21 20:00:00",3,36,False
137,"FALL 2017","2017-10-30 20:00:00",1,55,False
138,"Acoustic","2013-08-21 20:00:00",1,17,False
139,"🔥❤️","2017-10-19 20:00:00",2,44,False
140,"study","2016-08-29 20:00:00",1,33,False
141,"classic rock","2017-10-27 20:00:00",1,75,False
142,"contemplation ","2017-08-17 20:00:00",2,22,False
143,"smile","2017-10-25 20:00:00",1,10,False
144,"oldies","2017-06-02 20:00:00",1,54,False
